ClaimID,PolicyID,IncidentDate,SettlementDate,TurnaroundDays,ClaimType,ClaimAmount,ClaimStatus,RepudiationReason
CLM-50141,POL-104970,2025-10-03,2025-10-14,11,Power Surge,6618.7,Approved,
CLM-50142,POL-104038,2025-04-04,2025-04-27,23,Major Fleet Theft,310553.42,Settled,
CLM-50143,POL-100127,2025-05-04,2025-06-04,31,Building Storm Inundation,69613.92,Approved,
CLM-50144,POL-104576,2025-11-01,2025-11-09,8,Vehicle Theft / Hijack,289710.46,Settled,
CLM-50145,POL-102000,2025-06-19,2025-06-23,4,Geyser Burst / Water Damage,40148.21,Settled,
CLM-50146,POL-100940,2025-03-06,2025-03-26,20,Vehicle Collision,29509.83,Settled,
CLM-50147,POL-105000,2025-04-09,2025-04-26,17,Storm / Roof Damage,28146.98,Approved,
CLM-50148,POL-100056,2025-04-14,2025-05-07,23,Vehicle Collision,48245.98,Settled,
CLM-50149,POL-104271,2025-09-21,,,Vehicle Collision,50961.95,Repudiated,Unlicensed / Unauthorised Driver
CLM-50150,POL-103223,2025-04-04,2025-04-23,19,Accidental Damage,25301.56,Settled,
CLM-50151,POL-104772,2025-05-29,2025-06-02,4,Housebreaking / Theft,80347.54,Settled,
CLM-50152,POL-102396,2025-02-28,2025-03-06,6,Housebreaking / Theft,172422.21,Approved,
CLM-50153,POL-104790,2024-12-08,2024-12-18,10,Hail Damage,44080.75,Settled,
CLM-50154,POL-101973,2024-09-29,2024-11-06,38,Agricultural Machinery Breakdown,172045.88,Settled,
CLM-50155,POL-102638,2025-09-05,2025-10-03,28,Machinery Breakdown,45224.99,Settled,
CLM-50156,POL-102345,2024-07-19,2024-08-06,18,Vehicle Theft / Hijack,278031.49,Settled,
CLM-50157,POL-103910,2025-12-05,2025-12-24,19,Geyser Burst / Water Damage,88848.6,Settled,
CLM-50158,POL-103010,2025-07-14,2025-07-30,16,Driver Vehicle Rollover,392594.06,Settled,
CLM-50159,POL-104026,2025-08-06,2025-08-11,5,Vehicle Collision,22234.27,Settled,
CLM-50160,POL-103836,2025-03-01,2025-03-09,8,Storm / Roof Damage,29138.73,Settled,
CLM-50161,POL-101958,2025-07-05,2025-07-30,25,Major Fleet Theft,546330.8,Settled,
CLM-50162,POL-102462,2025-05-23,2025-06-03,11,Hail Damage,15257.19,Approved,
CLM-50163,POL-103284,2024-04-19,2024-05-05,16,Housebreaking / Theft,76555.28,Settled,
CLM-50164,POL-100556,2025-05-27,2025-06-13,17,Third Party Liability,23106.05,Settled,
CLM-50165,POL-100307,2024-08-06,,,Fleet Heavy Collision,146410.38,Under Investigation,
CLM-50166,POL-103475,2025-01-26,2025-02-05,10,Geyser Burst / Water Damage,29870.88,Settled,
CLM-50167,POL-102459,2024-12-01,2024-12-31,30,Fleet Heavy Collision,163001.4,Settled,
CLM-50168,POL-102561,2025-12-16,2026-01-15,30,Premises Liability,86633.73,Settled,
CLM-50169,POL-100592,2025-01-30,,,Hail Damage,71211.53,Repudiated,Uninsured Peril / Exclusion Applied
CLM-50170,POL-100456,2024-10-29,2024-11-23,25,Machinery Breakdown,125237.29,Settled,
CLM-50171,POL-101892,2025-08-04,2025-08-21,17,Vehicle Theft / Hijack,135372.26,Settled,
CLM-50172,POL-101723,2025-04-09,2025-04-15,6,Vehicle Theft / Hijack,191740.44,Settled,
CLM-50173,POL-104886,2025-07-10,,,Commercial Fire Damage,162521.81,Under Investigation,
CLM-50174,POL-100792,2025-02-15,2025-03-01,14,Windscreen Replacement,12735.74,Settled,
CLM-50175,POL-103608,2025-02-08,2025-02-22,14,Windscreen Replacement,10545.16,Settled,
CLM-50176,POL-102583,2025-11-14,2025-12-03,19,Business Interruption,138645.24,Settled,
CLM-50177,POL-100932,2025-10-19,2025-10-31,12,Geyser Burst / Water Damage,17423.6,Approved,
CLM-50178,POL-100012,2024-04-16,2024-05-10,24,Driver Vehicle Rollover,482049.1,Settled,
CLM-50179,POL-102963,2025-08-04,2025-08-25,21,Power Surge,12528.22,Settled,
CLM-50180,POL-102006,2025-01-08,2025-01-25,17,Power Surge,7802.59,Settled,
CLM-50181,POL-101324,2025-08-29,2025-09-04,6,Accidental Damage,35265.34,Settled,
CLM-50182,POL-104771,2025-03-09,2025-03-28,19,Third Party Liability,23205.66,Settled,
CLM-50183,POL-101312,2024-10-28,2024-11-03,6,Power Surge,11005.16,Settled,
CLM-50184,POL-102058,2025-08-20,2025-09-06,17,Accidental Damage,25152.16,Settled,
CLM-50185,POL-103330,2025-06-27,2025-07-23,26,Commercial Fire Damage,446383.98,Settled,
CLM-50186,POL-100863,2025-10-24,,,Cargo Loss in Transit,94018.38,Repudiated,Material Non-Disclosure at Inception
CLM-50187,POL-101040,2024-12-02,2024-12-23,21,Housebreaking / Theft,154548.04,Settled,
CLM-50188,POL-104747,2024-12-06,,,Geyser Burst / Water Damage,22277.21,Repudiated,Unlicensed / Unauthorised Driver
CLM-50189,POL-103419,2025-08-15,2025-09-01,17,Premises Liability,61768.01,Settled,
CLM-50190,POL-102523,2025-11-18,2025-12-05,17,Storm / Roof Damage,143884.46,Settled,
CLM-50191,POL-102022,2025-05-29,2025-07-05,37,Livestock Loss,145906.32,Settled,
CLM-50192,POL-103372,2025-07-24,,,Accidental Damage,13599.65,Under Investigation,
CLM-50193,POL-100466,2025-08-21,2025-09-17,27,Crop Hail Damage,236906.97,Settled,
CLM-50194,POL-100062,2025-03-26,2025-04-27,32,Fleet Heavy Collision,253825.9,Approved,
CLM-50195,POL-100472,2025-05-11,2025-05-22,11,Windscreen Replacement,12699.23,Settled,
CLM-50196,POL-103917,2024-04-24,2024-05-11,17,Third Party Liability,46361.31,Settled,
CLM-50197,POL-104380,2024-11-26,,,Geyser Burst / Water Damage,14156.42,Under Investigation,
CLM-50198,POL-104737,2025-09-14,2025-09-29,15,Hail Damage,51269.94,Settled,
CLM-50199,POL-103198,2025-03-16,2025-03-30,14,Third Party Liability,17881.41,Settled,
CLM-50200,POL-101861,2024-10-25,2024-11-07,13,Vehicle Collision,17743.97,Settled,
CLM-50201,POL-103973,2025-12-21,2026-01-13,23,Geyser Burst / Water Damage,53448.06,Settled,
CLM-50202,POL-103088,2025-01-31,2025-02-08,8,Power Surge,14357.56,Settled,
CLM-50203,POL-104521,2025-03-31,,,Livestock Loss,188883.84,Repudiated,Material Non-Disclosure at Inception
CLM-50204,POL-104487,2025-02-25,2025-03-08,11,Windscreen Replacement,10265.48,Settled,
CLM-50205,POL-101904,2024-12-23,2025-01-12,20,Geyser Burst / Water Damage,17352.95,Settled,
CLM-50206,POL-103719,2025-10-30,2025-11-11,12,Housebreaking / Theft,168263.22,Settled,
CLM-50207,POL-100562,2024-11-25,2024-12-12,17,Machinery Breakdown,69311.42,Settled,
CLM-50208,POL-104918,2025-08-27,2025-09-10,14,Geyser Burst / Water Damage,15339.76,Settled,
CLM-50209,POL-102923,2024-11-28,,,Geyser Burst / Water Damage,73842.8,Repudiated,Uninsured Peril / Exclusion Applied
CLM-50210,POL-102050,2025-11-22,2025-12-14,22,Accidental Damage,37452.46,Settled,
CLM-50211,POL-101592,2025-07-28,,,Housebreaking / Theft,79848.66,Repudiated,Unlicensed / Unauthorised Driver
CLM-50212,POL-104433,2025-09-04,2025-09-26,22,Hail Damage,44359.84,Approved,
CLM-50213,POL-104621,2025-08-31,2025-09-06,6,Third Party Liability,26219.07,Settled,
CLM-50214,POL-101898,2024-08-04,2024-08-17,13,Vehicle Collision,44546.49,Settled,
CLM-50215,POL-100208,2025-07-31,2025-08-18,18,Accidental Damage,20353.17,Settled,
CLM-50216,POL-102961,2025-01-03,2025-01-24,21,Geyser Burst / Water Damage,38385.28,Approved,
CLM-50217,POL-104104,2025-08-03,,,Machinery Breakdown,140226.0,Repudiated,Unlicensed / Unauthorised Driver
CLM-50218,POL-101300,2024-03-19,,,Windscreen Replacement,4769.1,Under Investigation,
CLM-50219,POL-103519,2025-07-24,2025-08-12,19,Farm Property Fire,182674.31,Settled,
CLM-50220,POL-102757,2025-06-06,2025-06-21,15,Driver Vehicle Rollover,479919.04,Settled,
CLM-50221,POL-102936,2025-11-22,2025-12-10,18,Vehicle Collision,24299.62,Settled,
CLM-50222,POL-104864,2024-12-09,,,Accidental Damage,19765.03,Repudiated,Fraudulent / Inflated Claim
CLM-50223,POL-102949,2025-06-01,,,Third Party Liability,45111.34,Under Investigation,
CLM-50224,POL-102296,2025-05-05,2025-05-30,25,Fleet Heavy Collision,300977.95,Settled,
CLM-50225,POL-103887,2024-12-03,2024-12-26,23,Livestock Loss,232066.65,Settled,
CLM-50226,POL-103351,2025-06-22,,,Vehicle Theft / Hijack,173896.61,Repudiated,Material Non-Disclosure at Inception
CLM-50227,POL-104733,2025-09-10,2025-09-23,13,Housebreaking / Theft,46945.85,Settled,
CLM-50228,POL-100365,2025-02-17,,,Farm Property Fire,527525.18,Under Investigation,
CLM-50229,POL-101251,2025-06-07,,,Agricultural Machinery Breakdown,130599.22,Under Investigation,
CLM-50230,POL-101461,2024-08-11,,,Fleet Heavy Collision,220985.79,Repudiated,Material Non-Disclosure at Inception
CLM-50231,POL-101957,2025-10-13,2025-11-13,31,Business Interruption,102574.39,Approved,
CLM-50232,POL-101568,2025-05-14,2025-05-28,14,Power Surge,8055.51,Settled,
CLM-50233,POL-100192,2025-10-19,2025-11-03,15,Windscreen Replacement,12506.37,Settled,
CLM-50234,POL-100592,2025-01-14,2025-02-05,22,Geyser Burst / Water Damage,219161.51,Settled,
CLM-50235,POL-102775,2025-05-21,2025-06-04,14,Housebreaking / Theft,89822.28,Settled,
CLM-50236,POL-100166,2024-04-26,,,Storm / Roof Damage,29599.41,Repudiated,Uninsured Peril / Exclusion Applied
CLM-50237,POL-104585,2025-02-15,2025-02-21,6,Housebreaking / Theft,138161.03,Settled,
CLM-50238,POL-100111,2025-07-07,2025-07-17,10,Power Surge,4309.32,Settled,
CLM-50239,POL-102742,2024-05-30,2024-06-03,4,Housebreaking / Theft,140227.57,Approved,
CLM-50240,POL-101624,2025-10-19,2025-10-27,8,Storm / Roof Damage,41862.35,Settled,
CLM-50241,POL-102815,2025-03-02,2025-04-14,43,Severe Drought / Heat Stress,152491.12,Settled,
CLM-50242,POL-104772,2024-09-04,2024-09-22,18,Accidental Damage,22382.85,Settled,
CLM-50243,POL-101061,2024-12-08,2024-12-30,22,Vehicle Theft / Hijack,245494.1,Settled,
CLM-50244,POL-100081,2025-06-25,,,Hail Damage,53854.55,Repudiated,Unlicensed / Unauthorised Driver
CLM-50245,POL-100545,2024-12-19,2025-01-02,14,Vehicle Collision,38693.1,Settled,
CLM-50246,POL-100038,2024-10-02,2024-10-16,14,Third Party Liability,13263.59,Settled,
CLM-50247,POL-102799,2025-12-11,2025-12-18,7,Geyser Burst / Water Damage,28353.47,Settled,
CLM-50248,POL-103523,2024-07-13,2024-08-03,21,Major Fleet Theft,200823.1,Settled,
CLM-50249,POL-103052,2024-01-14,2024-02-02,19,Storm / Roof Damage,28127.24,Approved,
CLM-50250,POL-103547,2024-06-12,2024-07-04,22,Building Storm Inundation,106458.85,Settled,
CLM-50251,POL-102086,2024-09-07,2024-09-13,6,Housebreaking / Theft,112933.94,Settled,
CLM-50252,POL-104671,2024-08-07,2024-08-28,21,Fleet Hail Damage,150711.16,Settled,
CLM-50253,POL-102311,2024-04-28,2024-05-10,12,Storm / Roof Damage,39998.63,Settled,
CLM-50254,POL-101691,2025-11-02,2025-11-08,6,Storm / Roof Damage,13263.87,Settled,
CLM-50255,POL-102804,2024-05-08,2024-05-29,21,Business Interruption,121396.13,Settled,
CLM-50256,POL-104630,2025-07-01,2025-07-26,25,Fleet Hail Damage,132708.29,Settled,
CLM-50257,POL-100160,2025-07-30,2025-08-20,21,Vehicle Collision,53510.84,Settled,
CLM-50258,POL-104323,2025-02-22,2025-03-05,11,Third Party Liability,48766.54,Settled,
CLM-50259,POL-102636,2024-04-07,2024-05-01,24,Building Storm Inundation,202950.93,Settled,
CLM-50260,POL-102793,2024-08-27,2024-09-02,6,Windscreen Replacement,6614.02,Settled,
CLM-50261,POL-103001,2024-12-14,2025-01-15,32,Vehicle Collision,143931.42,Settled,
CLM-50262,POL-100754,2024-07-08,2024-07-21,13,Building Storm Inundation,161925.8,Approved,
CLM-50263,POL-102819,2024-09-24,,,Fleet Hail Damage,144658.93,Under Investigation,
CLM-50264,POL-100888,2025-01-10,2025-02-10,31,Vehicle Collision,139122.62,Settled,
CLM-50265,POL-100331,2024-10-20,2024-11-09,20,Agricultural Machinery Breakdown,58838.57,Settled,
CLM-50266,POL-101751,2024-11-27,2024-12-17,20,Vehicle Collision,36591.29,Settled,
CLM-50267,POL-104378,2025-03-07,2025-03-14,7,Storm / Roof Damage,31327.62,Settled,
CLM-50268,POL-104921,2025-09-05,2025-09-12,7,Accidental Damage,31822.92,Settled,
CLM-50269,POL-104225,2025-08-14,,,Power Surge,11347.11,Repudiated,Material Non-Disclosure at Inception
CLM-50270,POL-104872,2025-11-12,2025-12-08,26,Machinery Breakdown,62346.87,Settled,
CLM-50271,POL-102792,2024-08-25,,,Vehicle Collision,43130.91,Repudiated,Fraudulent / Inflated Claim
CLM-50272,POL-104611,2024-11-26,,,Storm / Roof Damage,33351.11,Repudiated,Unlicensed / Unauthorised Driver
CLM-50273,POL-104778,2025-08-21,2025-09-18,28,Major Fleet Theft,559673.1,Settled,
CLM-50274,POL-102202,2024-11-25,2024-12-02,7,Third Party Liability,44741.16,Settled,
