PolicyID,InceptionDate,ExpiryDate,ClassID,RegionID,AnnualPremium,PolicyStatus,BrokerChannel
POL-100027,2025-05-12,2026-05-12,1,7,18336.38,Active,Independent Broker
POL-100028,2024-06-18,2025-06-18,1,3,23907.9,Active,Direct Digital
POL-100029,2024-07-24,2025-07-24,5,1,117828.69,Active,Independent Broker
POL-100030,2025-06-13,2026-06-13,2,1,10621.1,Active,Direct Digital
POL-100031,2024-08-23,2025-08-23,4,1,76761.76,Active,Direct Digital
POL-100032,2024-03-10,2025-03-10,1,2,10762.06,Active,Independent Broker
POL-100033,2024-08-07,2025-08-07,3,1,127355.6,Lapsed,Independent Broker
POL-100034,2024-09-05,2025-09-05,3,2,64468.37,Active,Independent Broker
POL-100035,2025-03-09,2026-03-09,2,2,19120.95,Active,Independent Broker
POL-100036,2024-04-10,2025-04-10,1,2,21542.7,Active,Direct Digital
POL-100037,2024-07-15,2025-07-15,1,3,16957.26,Active,Direct Digital
POL-100038,2024-09-12,2025-09-12,1,2,22851.56,Active,Direct Digital
POL-100039,2024-01-16,2025-01-15,1,7,23518.61,Active,Independent Broker
POL-100040,2024-08-06,2025-08-06,2,1,9471.99,Active,Independent Broker
POL-100041,2025-04-10,2026-04-10,2,2,16812.96,Active,Corporate Intermediary
POL-100042,2025-05-13,2026-05-13,1,1,14466.01,Cancelled,Independent Broker
POL-100043,2024-03-03,2025-03-03,5,2,59718.1,Active,Independent Broker
POL-100044,2024-06-10,2025-06-10,1,3,10913.83,Active,Independent Broker
POL-100045,2024-08-28,2025-08-28,2,1,20194.03,Active,Independent Broker
POL-100046,2024-02-10,2025-02-09,4,1,177710.1,Active,Independent Broker
POL-100047,2024-09-24,2025-09-24,1,4,21345.55,Active,Independent Broker
POL-100048,2024-11-03,2025-11-03,2,2,20020.45,Lapsed,Direct Digital
POL-100049,2024-04-12,2025-04-12,1,3,13095.73,Active,Affinity Partner
POL-100050,2024-03-11,2025-03-11,1,2,14273.79,Active,Independent Broker
POL-100051,2024-11-05,2025-11-05,4,4,204590.47,Active,Independent Broker
POL-100052,2024-04-16,2025-04-16,1,1,11493.03,Active,Independent Broker
POL-100053,2024-10-05,2025-10-05,2,3,10106.69,Active,Independent Broker
POL-100054,2024-09-27,2025-09-27,3,3,71632.31,Lapsed,Direct Digital
POL-100055,2025-03-09,2026-03-09,2,1,7248.93,Active,Independent Broker
POL-100056,2024-09-25,2025-09-25,1,6,16846.1,Active,Independent Broker
POL-100057,2024-04-24,2025-04-24,1,5,24424.43,Active,Corporate Intermediary
POL-100058,2024-05-31,2025-05-31,2,1,7777.24,Active,Affinity Partner
POL-100059,2024-02-10,2025-02-09,2,1,16612.52,Active,Independent Broker
POL-100060,2025-02-20,2026-02-20,4,6,112865.57,Lapsed,Corporate Intermediary
POL-100061,2024-06-30,2025-06-30,2,1,9675.18,Lapsed,Corporate Intermediary
POL-100062,2025-02-25,2026-02-25,4,6,273633.58,Active,Corporate Intermediary
POL-100063,2024-04-20,2025-04-20,2,1,19048.59,Active,Corporate Intermediary
POL-100064,2025-04-16,2026-04-16,2,1,18523.4,Active,Direct Digital
POL-100065,2024-07-16,2025-07-16,2,2,11044.72,Active,Corporate Intermediary
POL-100066,2024-12-25,2025-12-25,4,3,172921.2,Cancelled,Independent Broker
POL-100067,2024-01-29,2025-01-28,1,1,12528.51,Cancelled,Direct Digital
POL-100068,2024-04-21,2025-04-21,4,2,159693.34,Active,Independent Broker
POL-100069,2025-06-07,2026-06-07,1,2,24351.88,Active,Direct Digital
POL-100070,2025-03-22,2026-03-22,1,3,24779.43,Active,Independent Broker
POL-100071,2024-07-20,2025-07-20,2,2,8165.64,Active,Independent Broker
POL-100072,2024-11-17,2025-11-17,4,1,251339.79,Active,Independent Broker
POL-100073,2025-02-22,2026-02-22,2,2,16821.48,Active,Direct Digital
POL-100074,2025-01-23,2026-01-23,4,6,296187.36,Active,Independent Broker
POL-100075,2024-01-01,2024-12-31,2,1,10100.52,Active,Independent Broker
POL-100076,2024-11-25,2025-11-25,2,2,13301.81,Active,Independent Broker
POL-100077,2024-06-22,2025-06-22,4,1,144527.67,Active,Independent Broker
POL-100078,2024-04-05,2025-04-05,5,1,164375.26,Active,Direct Digital
POL-100079,2024-01-26,2025-01-25,1,1,25736.55,Active,Corporate Intermediary
POL-100080,2025-04-11,2026-04-11,2,4,15144.26,Active,Independent Broker
POL-100081,2025-02-13,2026-02-13,1,1,20359.35,Active,Corporate Intermediary
POL-100082,2024-04-19,2025-04-19,5,2,87202.99,Active,Independent Broker
POL-100083,2025-04-20,2026-04-20,1,3,13686.85,Active,Independent Broker
POL-100084,2025-04-20,2026-04-20,4,3,317033.65,Active,Affinity Partner
POL-100085,2025-03-29,2026-03-29,4,6,293544.97,Active,Affinity Partner
POL-100086,2025-04-01,2026-04-01,1,6,23728.52,Active,Corporate Intermediary
POL-100087,2024-10-10,2025-10-10,5,7,138620.97,Active,Direct Digital
POL-100088,2024-03-20,2025-03-20,5,1,89863.91,Active,Corporate Intermediary
POL-100089,2024-03-23,2025-03-23,1,1,13392.69,Active,Independent Broker
POL-100090,2024-03-06,2025-03-06,2,2,11766.16,Active,Direct Digital
POL-100091,2025-03-06,2026-03-06,2,7,15260.3,Active,Corporate Intermediary
POL-100092,2025-01-24,2026-01-24,3,1,153243.52,Active,Independent Broker
POL-100093,2025-03-05,2026-03-05,3,6,128686.82,Active,Corporate Intermediary
POL-100094,2025-05-14,2026-05-14,1,1,16747.71,Active,Independent Broker
POL-100095,2025-02-18,2026-02-18,5,1,192885.96,Lapsed,Affinity Partner
POL-100096,2024-01-28,2025-01-27,2,3,14988.61,Active,Independent Broker
POL-100097,2024-05-18,2025-05-18,2,1,7893.93,Active,Direct Digital
POL-100098,2024-11-30,2025-11-30,2,7,19339.03,Active,Affinity Partner
POL-100099,2025-03-07,2026-03-07,1,1,17313.03,Active,Direct Digital
POL-100100,2024-12-24,2025-12-24,1,4,10725.34,Lapsed,Direct Digital
POL-100101,2024-02-01,2025-01-31,1,1,23363.35,Active,Direct Digital
POL-100102,2025-04-29,2026-04-29,4,1,213172.55,Active,Independent Broker
POL-100103,2025-01-12,2026-01-12,1,3,19558.86,Active,Direct Digital
POL-100104,2024-06-16,2025-06-16,2,1,15185.85,Lapsed,Independent Broker
POL-100105,2025-01-19,2026-01-19,2,6,9936.95,Active,Corporate Intermediary
POL-100106,2024-09-05,2025-09-05,1,5,22268.69,Active,Independent Broker
POL-100107,2024-05-03,2025-05-03,3,1,82970.04,Active,Independent Broker
POL-100108,2025-06-02,2026-06-02,4,2,78099.78,Active,Independent Broker
POL-100109,2025-03-19,2026-03-19,2,4,19503.74,Active,Direct Digital
POL-100110,2024-06-29,2025-06-29,5,3,214130.53,Active,Corporate Intermediary
POL-100111,2025-05-10,2026-05-10,2,2,18595.14,Active,Independent Broker
POL-100112,2024-09-08,2025-09-08,1,1,24058.75,Active,Independent Broker
POL-100113,2025-01-23,2026-01-23,2,1,14021.43,Active,Independent Broker
POL-100114,2024-12-29,2025-12-29,1,2,14186.4,Active,Corporate Intermediary
POL-100115,2024-01-11,2025-01-10,3,1,52102.33,Active,Independent Broker
POL-100116,2024-09-03,2025-09-03,4,2,233246.21,Active,Corporate Intermediary
POL-100117,2024-04-05,2025-04-05,2,1,12780.74,Active,Independent Broker
POL-100118,2025-01-12,2026-01-12,3,3,104648.79,Active,Independent Broker
POL-100119,2024-12-04,2025-12-04,2,5,13461.68,Active,Direct Digital
POL-100120,2024-07-16,2025-07-16,2,1,17451.76,Lapsed,Independent Broker
POL-100121,2024-07-15,2025-07-15,1,6,17540.86,Active,Affinity Partner
POL-100122,2025-06-21,2026-06-21,4,1,315225.1,Active,Direct Digital
POL-100123,2025-01-04,2026-01-04,1,1,9832.03,Active,Direct Digital
POL-100124,2024-02-25,2025-02-24,3,1,124295.25,Active,Corporate Intermediary
POL-100125,2025-05-17,2026-05-17,1,1,19014.65,Active,Independent Broker
POL-100126,2024-07-07,2025-07-07,1,1,25033.44,Active,Corporate Intermediary
POL-100127,2025-02-14,2026-02-14,3,1,110088.5,Active,Direct Digital
POL-100128,2024-11-07,2025-11-07,1,1,11542.61,Active,Independent Broker
POL-100129,2024-08-19,2025-08-19,5,3,114664.26,Lapsed,Direct Digital
POL-100130,2025-03-15,2026-03-15,2,3,15770.18,Active,Independent Broker
POL-100131,2024-07-31,2025-07-31,4,1,139838.3,Active,Direct Digital
POL-100132,2024-03-17,2025-03-17,1,1,16299.69,Active,Independent Broker
POL-100133,2024-02-03,2025-02-02,1,1,21194.08,Active,Independent Broker
POL-100134,2024-08-27,2025-08-27,1,4,19272.55,Active,Direct Digital
POL-100135,2024-04-27,2025-04-27,3,1,118420.9,Lapsed,Corporate Intermediary
POL-100136,2024-03-14,2025-03-14,1,1,22599.11,Active,Corporate Intermediary
POL-100137,2024-10-22,2025-10-22,2,1,13668.03,Active,Independent Broker
POL-100138,2024-10-05,2025-10-05,3,3,100267.84,Active,Direct Digital
POL-100139,2025-03-18,2026-03-18,5,2,152631.32,Active,Direct Digital
POL-100140,2024-01-22,2025-01-21,5,5,189641.61,Active,Corporate Intermediary
POL-100141,2024-06-28,2025-06-28,3,3,118878.12,Lapsed,Direct Digital
POL-100142,2025-03-22,2026-03-22,4,3,312418.53,Active,Independent Broker
POL-100143,2024-11-24,2025-11-24,4,1,285144.61,Active,Independent Broker
POL-100144,2024-10-22,2025-10-22,4,2,274323.68,Active,Independent Broker
POL-100145,2024-11-18,2025-11-18,1,2,11501.11,Active,Corporate Intermediary
POL-100146,2024-01-02,2025-01-01,4,3,188184.2,Active,Independent Broker
POL-100147,2025-05-25,2026-05-25,4,2,261197.68,Active,Independent Broker
POL-100148,2024-10-21,2025-10-21,2,5,13889.02,Active,Independent Broker
POL-100149,2024-09-02,2025-09-02,5,1,102827.52,Active,Independent Broker
POL-100150,2024-08-18,2025-08-18,1,2,25131.8,Active,Direct Digital
POL-100151,2024-10-25,2025-10-25,3,5,74264.14,Active,Affinity Partner
POL-100152,2024-09-06,2025-09-06,2,3,9196.06,Active,Independent Broker
POL-100153,2024-05-19,2025-05-19,1,1,22271.87,Active,Independent Broker
POL-100154,2025-06-03,2026-06-03,1,1,14238.56,Active,Independent Broker
POL-100155,2025-05-16,2026-05-16,1,2,18432.72,Active,Independent Broker
POL-100156,2025-01-21,2026-01-21,2,2,19200.5,Cancelled,Direct Digital
POL-100157,2025-01-27,2026-01-27,1,7,16336.71,Active,Independent Broker
POL-100158,2025-01-25,2026-01-25,2,4,18135.03,Active,Direct Digital
POL-100159,2024-02-07,2025-02-06,1,3,25431.8,Active,Direct Digital
POL-100160,2025-03-26,2026-03-26,1,3,24531.24,Active,Direct Digital
POL-100161,2024-06-07,2025-06-07,1,2,22417.01,Active,Independent Broker
POL-100162,2025-02-11,2026-02-11,4,1,283682.5,Active,Corporate Intermediary
POL-100163,2025-01-24,2026-01-24,2,4,17118.3,Active,Corporate Intermediary
POL-100164,2024-02-06,2025-02-05,4,1,132518.71,Active,Direct Digital
POL-100165,2024-08-20,2025-08-20,5,1,123775.15,Active,Independent Broker
POL-100166,2024-04-12,2025-04-12,2,1,16777.22,Lapsed,Direct Digital
POL-100167,2024-02-27,2025-02-26,2,2,12372.81,Active,Independent Broker
POL-100168,2024-07-03,2025-07-03,1,1,10895.08,Active,Independent Broker
POL-100169,2024-09-03,2025-09-03,3,3,58887.89,Active,Direct Digital
POL-100170,2024-09-18,2025-09-18,4,1,295232.59,Active,Direct Digital
POL-100171,2024-06-10,2025-06-10,1,2,25101.86,Cancelled,Direct Digital
POL-100172,2025-03-10,2026-03-10,4,1,186924.77,Active,Affinity Partner
POL-100173,2025-05-09,2026-05-09,1,1,15854.37,Active,Direct Digital
POL-100174,2024-10-29,2025-10-29,1,4,16091.21,Active,Corporate Intermediary
POL-100175,2024-02-20,2025-02-19,4,6,196698.19,Lapsed,Direct Digital
POL-100176,2024-08-23,2025-08-23,4,2,128656.11,Active,Direct Digital
POL-100177,2024-05-20,2025-05-20,4,1,296333.91,Active,Independent Broker
POL-100178,2025-03-27,2026-03-27,1,3,15583.72,Active,Affinity Partner
POL-100179,2024-11-30,2025-11-30,5,2,79858.81,Active,Independent Broker
POL-100180,2025-01-09,2026-01-09,3,3,149791.46,Active,Direct Digital
POL-100181,2025-05-08,2026-05-08,2,6,19211.48,Active,Independent Broker
POL-100182,2024-03-18,2025-03-18,1,7,25450.6,Active,Independent Broker
POL-100183,2025-02-10,2026-02-10,3,2,52655.74,Active,Direct Digital
POL-100184,2024-05-06,2025-05-06,2,2,16485.03,Active,Independent Broker
POL-100185,2025-01-15,2026-01-15,1,5,13434.68,Active,Corporate Intermediary
POL-100186,2024-12-01,2025-12-01,4,1,233674.83,Active,Independent Broker
POL-100187,2024-11-05,2025-11-05,4,2,103585.6,Active,Direct Digital
POL-100188,2025-05-19,2026-05-19,1,1,13450.72,Active,Independent Broker
POL-100189,2025-01-14,2026-01-14,4,6,245638.58,Active,Independent Broker
POL-100190,2024-06-07,2025-06-07,2,4,8566.5,Active,Independent Broker
POL-100191,2024-10-13,2025-10-13,1,5,15676.69,Active,Affinity Partner
POL-100192,2025-01-06,2026-01-06,1,5,15624.29,Lapsed,Independent Broker
POL-100193,2024-03-03,2025-03-03,2,1,9819.36,Active,Corporate Intermediary
POL-100194,2025-04-10,2026-04-10,1,4,13078.54,Active,Affinity Partner
POL-100195,2024-02-21,2025-02-20,2,1,20845.73,Active,Direct Digital
POL-100196,2024-07-31,2025-07-31,4,1,274197.98,Active,Corporate Intermediary
POL-100197,2024-01-03,2025-01-02,2,1,20827.88,Active,Corporate Intermediary
POL-100198,2024-04-22,2025-04-22,4,1,107291.79,Active,Corporate Intermediary
POL-100199,2024-11-27,2025-11-27,1,1,13952.03,Active,Independent Broker
POL-100200,2024-04-26,2025-04-26,5,1,130961.81,Active,Independent Broker
POL-100201,2024-04-21,2025-04-21,2,3,10257.39,Active,Independent Broker
POL-100202,2025-06-17,2026-06-17,2,2,16078.1,Active,Affinity Partner
POL-100203,2025-02-15,2026-02-15,2,5,8689.87,Active,Independent Broker
POL-100204,2024-03-23,2025-03-23,2,3,9247.01,Active,Independent Broker
POL-100205,2024-11-28,2025-11-28,2,3,14521.68,Active,Independent Broker
POL-100206,2024-04-11,2025-04-11,4,1,283934.22,Active,Corporate Intermediary
POL-100207,2024-08-08,2025-08-08,2,2,19455.66,Active,Corporate Intermediary
POL-100208,2025-02-12,2026-02-12,2,6,8512.18,Active,Independent Broker
POL-100209,2025-01-18,2026-01-18,1,5,24736.95,Active,Corporate Intermediary
POL-100210,2024-04-05,2025-04-05,2,1,17475.33,Active,Direct Digital
POL-100211,2024-03-02,2025-03-02,4,3,212612.43,Active,Independent Broker
POL-100212,2025-03-09,2026-03-09,5,1,214627.77,Active,Independent Broker
POL-100213,2025-06-03,2026-06-03,1,1,20370.48,Active,Direct Digital
POL-100214,2025-01-11,2026-01-11,1,7,14168.52,Active,Independent Broker
POL-100215,2024-01-27,2025-01-26,4,4,278217.89,Active,Direct Digital
POL-100216,2024-11-12,2025-11-12,2,2,7284.26,Active,Independent Broker
POL-100217,2025-02-14,2026-02-14,1,1,21751.89,Cancelled,Direct Digital
POL-100218,2024-08-08,2025-08-08,2,2,13460.31,Active,Independent Broker
POL-100219,2024-11-28,2025-11-28,5,3,151358.04,Lapsed,Direct Digital
POL-100220,2024-02-20,2025-02-19,4,1,141665.2,Active,Independent Broker
POL-100221,2025-03-28,2026-03-28,2,1,10174.85,Active,Independent Broker
POL-100222,2024-04-23,2025-04-23,2,5,16563.11,Active,Independent Broker
POL-100223,2024-02-16,2025-02-15,1,2,25744.91,Active,Direct Digital
POL-100224,2024-08-04,2025-08-04,5,1,179907.35,Active,Direct Digital
POL-100225,2025-05-24,2026-05-24,5,2,79868.12,Active,Independent Broker
POL-100226,2025-05-27,2026-05-27,3,4,137131.62,Active,Corporate Intermediary
POL-100227,2024-02-13,2025-02-12,2,1,13544.61,Active,Independent Broker
POL-100228,2025-03-15,2026-03-15,3,2,125720.88,Active,Direct Digital
POL-100229,2024-01-22,2025-01-21,2,1,18258.25,Active,Corporate Intermediary
POL-100230,2025-01-05,2026-01-05,1,2,23449.54,Active,Independent Broker
POL-100231,2025-06-20,2026-06-20,1,2,23876.6,Active,Direct Digital
POL-100232,2024-06-21,2025-06-21,1,3,19984.88,Active,Direct Digital
POL-100233,2024-12-23,2025-12-23,2,6,20423.48,Active,Direct Digital
POL-100234,2024-04-15,2025-04-15,1,1,12835.26,Active,Corporate Intermediary
POL-100235,2024-03-18,2025-03-18,1,7,19898.36,Active,Independent Broker
POL-100236,2025-04-04,2026-04-04,4,3,232533.0,Cancelled,Independent Broker
POL-100237,2024-11-19,2025-11-19,1,2,10719.89,Active,Independent Broker
POL-100238,2024-10-08,2025-10-08,4,1,161225.84,Active,Independent Broker
POL-100239,2024-02-08,2025-02-07,1,2,23239.82,Active,Corporate Intermediary
POL-100240,2024-04-02,2025-04-02,4,3,199231.62,Active,Independent Broker
POL-100241,2024-02-12,2025-02-11,2,3,16195.36,Active,Independent Broker
POL-100242,2024-06-03,2025-06-03,1,2,11297.43,Lapsed,Independent Broker
POL-100243,2024-03-27,2025-03-27,3,4,62361.95,Active,Independent Broker
POL-100244,2025-03-25,2026-03-25,3,3,113957.04,Active,Affinity Partner
POL-100245,2025-01-31,2026-01-31,2,7,11869.47,Active,Corporate Intermediary
POL-100246,2024-12-08,2025-12-08,1,2,11149.9,Active,Direct Digital
POL-100247,2024-06-02,2025-06-02,2,1,15241.81,Active,Independent Broker
POL-100248,2025-02-05,2026-02-05,1,3,21224.88,Active,Independent Broker
POL-100249,2024-12-02,2025-12-02,1,4,21126.43,Lapsed,Affinity Partner
POL-100250,2025-06-23,2026-06-23,1,4,20595.48,Active,Direct Digital
POL-100251,2024-11-12,2025-11-12,1,1,15204.41,Active,Direct Digital
POL-100252,2024-05-20,2025-05-20,1,1,14450.99,Active,Independent Broker
POL-100253,2025-06-23,2026-06-23,1,4,15122.94,Active,Direct Digital
POL-100254,2025-01-20,2026-01-20,1,1,12565.87,Active,Independent Broker
POL-100255,2024-06-18,2025-06-18,5,2,57427.71,Active,Independent Broker
POL-100256,2025-03-30,2026-03-30,4,1,259335.84,Active,Direct Digital
POL-100257,2024-09-01,2025-09-01,2,2,19674.85,Active,Independent Broker
POL-100258,2025-03-27,2026-03-27,2,7,11088.45,Active,Independent Broker
POL-100259,2024-06-14,2025-06-14,1,3,11869.74,Active,Independent Broker
POL-100260,2025-01-15,2026-01-15,3,1,125945.32,Active,Direct Digital
POL-100261,2024-03-26,2025-03-26,5,1,96374.52,Lapsed,Direct Digital
POL-100262,2025-03-23,2026-03-23,1,1,22993.93,Lapsed,Affinity Partner
POL-100263,2025-02-28,2026-02-28,1,2,17832.92,Active,Affinity Partner
POL-100264,2025-01-18,2026-01-18,1,1,14826.43,Active,Independent Broker
POL-100265,2024-12-09,2025-12-09,1,1,10228.17,Lapsed,Independent Broker
POL-100266,2024-05-22,2025-05-22,5,5,129748.72,Active,Affinity Partner
POL-100267,2024-01-20,2025-01-19,1,1,23293.39,Active,Independent Broker
POL-100268,2025-06-24,2026-06-24,2,1,17911.18,Active,Direct Digital
POL-100269,2024-09-01,2025-09-01,2,4,18155.81,Active,Direct Digital
POL-100270,2025-05-26,2026-05-26,4,3,79026.66,Active,Direct Digital
POL-100271,2024-05-27,2025-05-27,2,2,7221.59,Active,Independent Broker
POL-100272,2024-07-10,2025-07-10,4,4,95975.42,Cancelled,Direct Digital
POL-100273,2025-06-22,2026-06-22,3,3,134796.66,Active,Direct Digital
POL-100274,2025-04-26,2026-04-26,1,4,15944.85,Active,Independent Broker
POL-100275,2024-12-31,2025-12-31,1,2,13554.47,Active,Direct Digital
POL-100276,2024-12-06,2025-12-06,1,1,15377.7,Active,Independent Broker
POL-100277,2025-04-20,2026-04-20,4,2,229775.28,Active,Direct Digital
POL-100278,2025-04-13,2026-04-13,1,1,12906.09,Active,Corporate Intermediary
POL-100279,2024-11-19,2025-11-19,2,3,12695.49,Active,Independent Broker
POL-100280,2024-02-07,2025-02-06,5,4,82487.58,Active,Corporate Intermediary
POL-100281,2024-12-05,2025-12-05,1,1,22709.22,Active,Independent Broker
POL-100282,2025-03-26,2026-03-26,2,2,20637.39,Active,Independent Broker
POL-100283,2025-06-15,2026-06-15,1,1,21524.13,Active,Independent Broker
POL-100284,2024-07-03,2025-07-03,3,1,79902.95,Active,Independent Broker
POL-100285,2024-11-09,2025-11-09,2,3,17103.75,Active,Independent Broker
POL-100286,2025-04-02,2026-04-02,1,6,23868.61,Active,Affinity Partner
POL-100287,2024-10-08,2025-10-08,4,1,93385.09,Active,Independent Broker
POL-100288,2024-06-12,2025-06-12,1,1,23518.18,Active,Independent Broker
POL-100289,2024-05-09,2025-05-09,1,1,22367.65,Active,Independent Broker
POL-100290,2024-02-03,2025-02-02,4,1,241370.2,Lapsed,Independent Broker
POL-100291,2024-03-19,2025-03-19,3,1,104476.27,Active,Independent Broker
POL-100292,2024-09-12,2025-09-12,1,1,21665.07,Active,Independent Broker
POL-100293,2024-04-30,2025-04-30,1,7,13868.75,Active,Affinity Partner
POL-100294,2024-10-19,2025-10-19,4,3,124043.69,Active,Direct Digital
POL-100295,2024-06-25,2025-06-25,5,2,219534.61,Active,Affinity Partner
POL-100296,2024-11-23,2025-11-23,4,2,248837.42,Active,Direct Digital
POL-100297,2024-11-03,2025-11-03,1,6,21236.85,Active,Direct Digital
POL-100298,2025-01-05,2026-01-05,3,1,56320.77,Active,Direct Digital
POL-100299,2025-05-20,2026-05-20,1,2,18685.95,Active,Corporate Intermediary
POL-100300,2024-05-12,2025-05-12,4,1,91108.29,Active,Independent Broker
POL-100301,2025-05-05,2026-05-05,3,2,132761.42,Active,Direct Digital
POL-100302,2024-11-20,2025-11-20,4,1,185243.75,Active,Independent Broker
POL-100303,2024-07-05,2025-07-05,5,1,123545.11,Lapsed,Direct Digital
POL-100304,2024-05-07,2025-05-07,3,1,77886.7,Active,Affinity Partner
POL-100305,2024-08-18,2025-08-18,2,3,19549.98,Active,Direct Digital
POL-100306,2024-10-08,2025-10-08,1,4,14566.32,Active,Independent Broker
POL-100307,2024-06-21,2025-06-21,4,3,112777.6,Active,Independent Broker
POL-100308,2024-12-11,2025-12-11,3,1,139377.88,Active,Direct Digital
POL-100309,2024-09-28,2025-09-28,4,1,262904.96,Active,Independent Broker
POL-100310,2025-05-24,2026-05-24,4,3,145969.56,Lapsed,Independent Broker
POL-100311,2025-02-19,2026-02-19,2,2,8207.03,Active,Independent Broker
POL-100312,2025-05-10,2026-05-10,2,1,11894.66,Active,Corporate Intermediary
POL-100313,2024-11-22,2025-11-22,5,2,215813.6,Active,Independent Broker
POL-100314,2024-04-18,2025-04-18,2,1,13637.32,Active,Direct Digital
POL-100315,2024-04-09,2025-04-09,1,1,25104.31,Active,Independent Broker
POL-100316,2024-06-12,2025-06-12,2,3,17151.57,Active,Direct Digital
POL-100317,2025-06-11,2026-06-11,2,3,19331.24,Active,Direct Digital
POL-100318,2025-02-06,2026-02-06,3,2,156069.02,Active,Independent Broker
POL-100319,2024-02-21,2025-02-20,2,3,15445.76,Active,Independent Broker
POL-100320,2024-10-19,2025-10-19,3,1,141966.34,Active,Corporate Intermediary
POL-100321,2025-01-09,2026-01-09,5,2,112209.35,Active,Independent Broker
POL-100322,2024-07-18,2025-07-18,2,3,11182.7,Active,Independent Broker
POL-100323,2024-10-13,2025-10-13,4,5,224705.57,Active,Direct Digital
POL-100324,2025-01-17,2026-01-17,2,3,20157.49,Active,Direct Digital
POL-100325,2025-06-05,2026-06-05,2,3,7755.52,Active,Independent Broker
POL-100326,2025-04-30,2026-04-30,3,2,59575.0,Lapsed,Direct Digital
POL-100327,2024-11-22,2025-11-22,1,2,25846.1,Active,Direct Digital
POL-100328,2024-12-10,2025-12-10,3,3,104816.1,Active,Direct Digital
POL-100329,2024-01-18,2025-01-17,2,2,16498.53,Cancelled,Independent Broker
POL-100330,2024-01-28,2025-01-27,4,2,140054.96,Active,Affinity Partner
POL-100331,2024-08-21,2025-08-21,5,1,149198.96,Active,Independent Broker
POL-100332,2025-01-24,2026-01-24,1,5,13572.02,Active,Independent Broker
POL-100333,2024-07-14,2025-07-14,1,2,14744.56,Active,Independent Broker
POL-100334,2025-02-24,2026-02-24,3,7,114154.41,Active,Corporate Intermediary
POL-100335,2024-03-04,2025-03-04,5,1,138176.15,Active,Affinity Partner
POL-100336,2025-05-04,2026-05-04,3,2,79022.81,Active,Affinity Partner
POL-100337,2024-12-16,2025-12-16,3,2,121752.49,Active,Independent Broker
POL-100338,2024-09-27,2025-09-27,4,2,122104.72,Active,Independent Broker
POL-100339,2024-08-18,2025-08-18,2,7,11188.26,Active,Independent Broker
POL-100340,2024-11-20,2025-11-20,3,2,108137.54,Lapsed,Independent Broker
POL-100341,2024-10-21,2025-10-21,1,3,20696.6,Active,Affinity Partner
POL-100342,2024-12-19,2025-12-19,5,1,99376.95,Active,Independent Broker
POL-100343,2024-12-20,2025-12-20,2,4,10738.93,Active,Direct Digital
POL-100344,2024-10-04,2025-10-04,3,5,74051.33,Active,Independent Broker
POL-100345,2024-09-02,2025-09-02,1,1,20585.28,Active,Independent Broker
POL-100346,2024-02-23,2025-02-22,1,2,15016.82,Active,Independent Broker
POL-100347,2024-05-20,2025-05-20,1,3,25637.74,Active,Independent Broker
POL-100348,2025-05-02,2026-05-02,3,4,65535.81,Cancelled,Independent Broker
